u_id,model,n_methods,mean_rho,low_agreement,rho_occlusion_vs_attention_rollout
1309b373-b885-4aa0-b6f8-7aab4b734ac2,clip,1,,False,
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,clip,1,,False,
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,clip,1,,False,
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,clip,1,,False,
1bad08e1-1e74-421f-996f-5c435cb367e3,clip,1,,False,
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,clip,1,,False,
07dabc78-3e60-46e1-b6e4-14c03b083f61,clip,1,,False,
e8417033-3d23-4eb3-b225-e8d68ff8cde3,clip,1,,False,
7469bf5a-e55b-4077-8c23-4f80be8daa32,clip,1,,False,
803df59c-07e6-4459-a5cb-8c2e27237461,clip,1,,False,
b2886064-331e-4c71-a625-d9d2c5cd9421,clip,1,,False,
f009866e-207b-4ed4-b0d2-150b69a5d0b0,clip,1,,False,
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,clip,1,,False,
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,clip,1,,False,
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,clip,1,,False,
a8f5c325-4cc4-4371-bd45-5d19156de028,clip,1,,False,
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,clip,1,,False,
22bb7d28-bb29-4a85-af25-85f66ce70d52,clip,1,,False,
4c169dc1-0511-4867-803b-2c5724589072,clip,1,,False,
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,clip,1,,False,
48cb84ac-f6c8-41d5-a8bd-433790fd4228,clip,1,,False,
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,clip,1,,False,
bb027c12-2666-421b-a523-4bd7c4c30f20,clip,1,,False,
3b78bd2d-5f55-4480-8637-ccc22c549402,clip,1,,False,
9e592190-7413-4778-8631-3908e7577661,clip,1,,False,
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,clip,1,,False,
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,clip,1,,False,
4048bef4-586f-466a-8f53-3a1332979fcd,clip,1,,False,
a5ffd0e5-343e-484b-92dc-aa8f00b18e98,clip,1,,False,
c6f9ae05-ef81-4957-b6f0-7a177580e2d5,clip,1,,False,
6653f8dd-3fff-48a3-8e29-065917a610b0,clip,1,,False,
d97dd49b-2351-46fb-814b-b5f0a72d251e,clip,1,,False,
19289618-394a-4b0b-ad8f-ffe2157564aa,clip,1,,False,
98eed9b0-5603-4c58-b498-34df83a4d44e,clip,1,,False,
a13fc28b-003a-4e28-8850-905313634459,clip,1,,False,
3fd7af11-b663-486b-a962-16c72d01e706,clip,1,,False,
82215031-0639-473d-8f9c-7c9de723779d,clip,1,,False,
1309b373-b885-4aa0-b6f8-7aab4b734ac2,llava,2,0.1631,True,0.1631
49f5b3aa-dc13-4ebe-bf8d-6771b9298c37,llava,1,,False,
502a5fee-89c1-4f5d-b41d-9bdd65b11eb1,llava,1,,False,
08f8c99f-b47b-46f6-8e29-6bcaa11d8ab1,llava,1,,False,
1bad08e1-1e74-421f-996f-5c435cb367e3,llava,1,,False,
de8ac0fa-d6dc-41bb-b117-f5e84f22e9e5,llava,1,,False,
07dabc78-3e60-46e1-b6e4-14c03b083f61,llava,1,,False,
e8417033-3d23-4eb3-b225-e8d68ff8cde3,llava,1,,False,
7469bf5a-e55b-4077-8c23-4f80be8daa32,llava,1,,False,
803df59c-07e6-4459-a5cb-8c2e27237461,llava,2,-0.1066,True,-0.1066
b2886064-331e-4c71-a625-d9d2c5cd9421,llava,1,,False,
f009866e-207b-4ed4-b0d2-150b69a5d0b0,llava,1,,False,
09c667a0-2ed1-425e-8f15-f0d7b510b5ab,llava,1,,False,
5db4404d-6fd6-4ebd-ad5f-15c8be7344d5,llava,1,,False,
481fa382-ad75-4f6e-bdaa-cdadfbc9f4e5,llava,1,,False,
a8f5c325-4cc4-4371-bd45-5d19156de028,llava,1,,False,
96037b83-81d6-4de0-ac58-e2ea3f1d0f68,llava,1,,False,
22bb7d28-bb29-4a85-af25-85f66ce70d52,llava,1,,False,
4c169dc1-0511-4867-803b-2c5724589072,llava,1,,False,
d6bdefc4-d83f-4df5-a2c0-74ce4bb3dbea,llava,1,,False,
48cb84ac-f6c8-41d5-a8bd-433790fd4228,llava,1,,False,
6c905b2d-0ff6-4c21-b0ef-50861a2cc2b5,llava,1,,False,
4f04c1f6-a284-4219-9412-beacc222f51d,llava,1,,False,
31824d6c-cdda-43df-9792-17cb3f44217d,llava,1,,False,
bb027c12-2666-421b-a523-4bd7c4c30f20,llava,1,,False,
6518121e-ba08-4e76-aa33-2c2e00598fdd,llava,1,,False,
3b78bd2d-5f55-4480-8637-ccc22c549402,llava,1,,False,
a2dcde1c-1b2c-4936-ac07-8e912413e23e,llava,1,,False,
9e592190-7413-4778-8631-3908e7577661,llava,1,,False,
2fd3e1c4-4980-4f7d-8876-69cd79654a75,llava,1,,False,
a9aa210b-bfa3-4ff6-8c82-3c3e7b4544b5,llava,1,,False,
ac9a3d5c-63dd-4fbd-9676-9f913f4029f3,llava,1,,False,
0f7abdc3-c885-4d91-bb7d-67f1c607a7d0,llava,1,,False,
4048bef4-586f-466a-8f53-3a1332979fcd,llava,1,,False,
a82f3319-8037-44df-bcab-0d39d14590e6,llava,1,,False,
fa819613-c07e-4e81-ae2a-6a5fee7b350b,llava,1,,False,
a5ffd0e5-343e-484b-92dc-aa8f00b18e98,llava,1,,False,
c6f9ae05-ef81-4957-b6f0-7a177580e2d5,llava,1,,False,
6653f8dd-3fff-48a3-8e29-065917a610b0,llava,1,,False,
d9